[2021-05-09 19:11:41,221 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:41,221 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:11:41,223 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:41,223 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:11:41,321 INFO] blockchain_client->send_request: 	 client 0's  message 4 processed successfully.
[2021-05-09 19:11:42,256 INFO] blockchain_client->send_request: 	 client 0's  message 5 sent.
[2021-05-09 19:11:42,313 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:42,315 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:42,316 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:42,316 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:11:42,318 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:42,318 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:11:42,320 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:42,320 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:11:42,321 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:42,321 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:11:42,323 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:42,323 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:11:42,422 INFO] blockchain_client->send_request: 	 client 0's  message 5 processed successfully.
[2021-05-09 19:11:43,044 INFO] blockchain_client->send_request: 	 client 0's  message 6 sent.
[2021-05-09 19:11:43,108 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:43,109 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:43,111 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:43,111 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:11:43,114 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:43,114 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:11:43,116 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:43,116 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:11:43,117 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:43,117 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:11:43,119 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:43,119 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:11:43,222 INFO] blockchain_client->send_request: 	 client 0's  message 6 processed successfully.
[2021-05-09 19:11:43,238 INFO] blockchain_client->send_request: 	 client 0's  message 7 sent.
[2021-05-09 19:11:43,293 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:43,295 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:43,296 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:43,296 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:11:43,298 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:43,298 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:11:43,300 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:43,300 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:11:43,302 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:43,302 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:11:43,304 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:43,304 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:11:43,408 INFO] blockchain_client->send_request: 	 client 0's  message 7 processed successfully.
[2021-05-09 19:11:44,224 INFO] blockchain_client->send_request: 	 client 0's  message 8 sent.
[2021-05-09 19:11:44,283 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:44,285 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:44,287 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:44,288 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:11:44,290 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:44,290 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:11:44,292 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:44,292 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:11:44,295 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:11:44,295 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:11:44,297 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:11:44,297 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:11:44,397 INFO] blockchain_client->send_request: 	 client 0's  message 8 processed successfully.
[2021-05-09 19:11:45,322 INFO] blockchain_client->send_request: 	 client 0's  message 9 sent.
[2021-05-09 19:11:45,387 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:11:45,398 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:11:45,408 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:11:45,408 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:11:45,419 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:11:45,419 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:11:45,430 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:11:45,430 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:11:45,435 INFO] blockchain_client->send_request: 	 client 0's  message 9 processed successfully.
