[2021-05-09 19:13:31,527 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:13:31,529 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:31,529 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:13:31,530 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:13:31,530 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:13:31,532 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:13:31,532 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:13:31,534 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:13:31,534 INFO] blockchain_client->get_reply: 	 check majority for message [0, 3] passed!
[2021-05-09 19:13:31,813 INFO] blockchain_client->send_request: 	 client 0's  message 3 processed successfully.
[2021-05-09 19:13:31,844 INFO] blockchain_client->send_request: 	 client 0's  message 4 sent.
[2021-05-09 19:13:31,953 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:31,955 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:31,956 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:31,958 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:31,958 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:31,960 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:31,960 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:31,961 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:31,961 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:31,963 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:31,963 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:31,964 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:13:31,964 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:31,966 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:13:31,966 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:31,967 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:13:31,968 INFO] blockchain_client->get_reply: 	 check majority for message [0, 4] passed!
[2021-05-09 19:13:32,248 INFO] blockchain_client->send_request: 	 client 0's  message 4 processed successfully.
[2021-05-09 19:13:33,199 INFO] blockchain_client->send_request: 	 client 0's  message 5 sent.
[2021-05-09 19:13:33,310 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:33,311 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:33,313 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:33,315 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:33,315 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,316 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:33,316 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,318 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:33,318 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,319 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:33,319 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,321 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:13:33,321 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,322 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:13:33,322 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,324 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:13:33,324 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:13:33,608 INFO] blockchain_client->send_request: 	 client 0's  message 5 processed successfully.
[2021-05-09 19:13:34,538 INFO] blockchain_client->send_request: 	 client 0's  message 6 sent.
[2021-05-09 19:13:34,648 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:34,650 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:34,652 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:34,653 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:34,653 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,655 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:34,655 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,656 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:34,656 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,658 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:34,658 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,659 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:13:34,659 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,661 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:13:34,661 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,663 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:13:34,663 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:13:34,945 INFO] blockchain_client->send_request: 	 client 0's  message 6 processed successfully.
[2021-05-09 19:13:35,508 INFO] blockchain_client->send_request: 	 client 0's  message 7 sent.
[2021-05-09 19:13:35,640 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:35,642 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:35,644 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:35,645 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:35,645 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,647 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:35,647 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,649 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:35,649 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,651 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:35,651 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,652 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:13:35,652 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,654 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:13:35,654 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,656 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:13:35,656 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:13:35,941 INFO] blockchain_client->send_request: 	 client 0's  message 7 processed successfully.
[2021-05-09 19:13:36,266 INFO] blockchain_client->send_request: 	 client 0's  message 8 sent.
[2021-05-09 19:13:36,378 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:36,380 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:36,382 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:36,383 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:36,383 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,385 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:36,385 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,386 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:36,386 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,388 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:36,388 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,390 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:13:36,390 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,391 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:13:36,392 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,393 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:13:36,393 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:13:36,682 INFO] blockchain_client->send_request: 	 client 0's  message 8 processed successfully.
[2021-05-09 19:13:37,108 INFO] blockchain_client->send_request: 	 client 0's  message 9 sent.
[2021-05-09 19:13:37,237 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:13:37,252 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:13:37,266 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:13:37,282 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:13:37,282 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:13:37,295 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:13:37,295 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:13:37,311 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:13:37,311 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:13:37,328 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:13:37,328 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:13:37,337 INFO] blockchain_client->send_request: 	 client 0's  message 9 processed successfully.
